Nederlands;Tilburgs
 schilderen ; vèèreve
 schillen ; schèlle
 schilmesje ; schèlmiske
 schim ; schiem
 schimmelplekken ; poeskes
 schoenmakersleest ; list
 schoenpoets ; blinksmèèr
 schoentje ; schuuntje
 schoenveter ; nissel
 schoenveters ; nissels
 Schoep ; Enne schet wa poepmee kom
 schooier ; schobber
 schoon ; kèùs
 schoon ; zèùver
 schoonmaak ; schomaok
 schoonmaken ; schonmaoken
 schoonmaken ; opdoen
 schoonmaken ; aafdoen, afdoen
 schoonmaken, vegen, keren ; kêere
 schoonmaker van de ketel van een stoommachine, ketelboener ; keetelbuuner, keetelbuunder
 schoorsteen ; schaaw
 schoorsteen, rookkanaal ; pèèp
 schootsafstand, werp-afstand, niet ver van hier; bòlscheut
 schop, trap ; schup
 schop, spa (de) ; schuup
 schopje ; schuupke
 Schoppen (kaart) ; Schuppe
 schoppen (kaartkleur) ; schuppes
 schoppen, trappen ; schuppe
 schot ; scheut
 schot van een kruiwagen ; bèrd
 schouder ; schaawer
 schouderdoek, omslagdoek ; neudoek
 schouw ; schaaw
 schraal ; schraol
 schrander, pienter ; rap
 schreeuwen ; kwèèke
 schreeuwen ; kwijken
 schreeuwen, hard roepen ; kwèèke, (kwêek, gekweeke)
 schreeuwer, schreeuwlelijk, huilebalk ; kwèèkerd
 schrijven ; schrèève
 schrikken, verschrikken ; verschiete
 schrob bezem ; luiwoagen
 schrobbelaar, textielarbeider ; schrobbelèèr
 schroefje ; schruufke
 schrokop, snelle eter, geldverkwister ; durjaoger
 schudden ; hussele
 schudden ; russele
 schudden ; rutsele
 schuif ; schèùf
 schuifdeuren ; schèùfdeure
 schuifelen ; sjoefele
 schuilen ; schèùle
 schuim ; schèùm
 schuim (o.a. op een paardenmond) ; broes
 schuinen ; sgive
 schuiven ; schèùve
 schuren met puimsteen (ww) ; pööme
 schurft ; krèts, schurreft
 schurftig hoofd ; klètskòp
 schutting ; schaansmuur
 schutting ; schaans
 schuur ; schop
 schuur ; 't schop
 schuur (in de achtertuin) ; 't schop
 schuurtje ; schöpke
 secuur ; priegel
 secuur persoon, pietje precies ; unne zeekere
 sedert ; sèns
 seizoen, jaargetijde ; jòrgetij, jòrgetèèj
 serieus ; mèènes
 serieus ; ernstig
 serieus doorwerken (Fr:mentionner) ; mènsie maoke
 serieus? ; dè mende nie!
 seringen kruidnagel ; kröötnaogel, krötnaogel
 serveerster ; opdienster
 serviesgoed ; gelaajgoed
 serviezen, aardewerk ; gelaajgoed
 Shaamlip ; Kaantlel
 shaggie, zelfgerolde sigaret ; sjèkske
 Shetland pony ; ponniepèrdje
 shetland wollen sokken ; sjèt sòkke
 sigaar ; segaar
 sigarenmaker ; segaarefrutter
 sigaret ; garatje
 sigaret ; safske
 sigaretje rollen ; un sjekske draaie
 sijs (Carduelis spinus) ; èlzesèèsje
 simpelmenske ; dutske
 sinaasappel ; appelesien
 sinaasappel ; nappelsien
 sinaasappelkistje ; appelsienekiesje
 sinds ; sèns
 sinds kort ; unnen blaawe mòndag
 sint-juttemis, nooit ; pielepaose
 Sinterklaas ; Sienereklaos
 sinterklaas ; siendereklaos
 sinterklaas ; sinnereklaos
 sinterklaas inkopen doen ; klotteren
 sinterklaas inkopen doen ; klòttere
 sjaal, das ; daas
 sjaaltje ; dèske
 sjalot ; selòt
 skelet ; geròmte
 sla ; slaoj
 Sla met ei, ui & aardappellen ; sloai meej aai meej juin meej eerpel
 slaag ; priegel
 slaag ; peut
 slaag krijgen ; pitte beure
 slaag krijgen ; peut beuren
 slaag krijgen ; peut beure
 slaag, mep, aantal ; roefel
 slaag, pakslaag ; slaog
 slaan ; slaon, (sloeg, geslaon)
 slaan, vluchten ; pèère
 slaapkamer ; slòpkaomer
 slaapmuts ; klapmuts
 slaapplaats ; iepert, uupert
 slachtafval ; lôos
 slachthuis ; abbetwaar
 slagen, succes hebben ; brôoje
 slager ; bêenhaawer
 slager ; slachter
 slagerij ; bêenhaawerej
 slangetje ; slèngske
 slap kopje thee ; kupke slootwoater
 slapen ; slaope
 slappe jus ; lewaajsaus, lawaajsaws
 slappe koffie ; sloeber
 slappe koffie of thee ; loerie
 slappe limonade, slappe ranja ; zuurkesnat
 slappe saus, dunne jus, jus v / h water waarin de aardappels gekookt zijn ; lawaajsaws
 slappe thee ; ölezèèk, èùlezèèk
 slecht ; kaoj
 slecht ; kaod
 slecht ; slèècht
 slecht gras (wat de koeien niet vreten) ; blòtsel
 slecht hout, brandhout ; waajbôomehout
 slecht humeur ; sjagrèèn
 slecht uitziend, slechte kwaliteit, niet veel zaaks ; labberdepoepie
 slecht van geweten ; lòs van kòp
 slecht weer ; gin weer
 slecht werk, half werk ; halleven bak
 slecht, sluw, kwaadaardig ; ont
 slechte ; kaoj (e)
 slechte aardappelen ; vèèrekesèèrepel, kuusèèrepel
 slechte aardappelen, kapotkokers ; matsers
 slechte eter ; pits (er)
 slechte kaarten ; tòdde van kaorte
 slechte kwaliteit shag ; Bèlzesjèk
 slechte kwaliteit shag, bijeengegraaide tabak van peuken ; buksjèk
 slechte tabak ; flöör de matràs
 slechtziende ogen ; soepôoge
 slepen, dribbelen, pingelen ; slèèpe, (slèpte, geslèpt)
 slijmerd, huichelaar ; kwèèlebalk
 slijpen ; slèèpe, (slêep, gesleepe)
 slijpsteen ; slèpstêen
 slingeren ; zwallekû
 slipjas (Fr: pet en l'air) ; pietelèèr (vkw pietelèrke)
 slipjas, pandjesjas ; kredietjas
 sloddervos, iemand die het niet zo nauw neemt ; raawdaawer
 sloerie ; fakkedoelie
 sloerie ; tadderak
 slokje ; kwèlleke
 slome vrouw ; dutsel
 slons, slet ; slòdder
 slonzig gekleed ; op zen gieltjes
 slonzige huisvrouw ; völ poetje
 sloom persoon (Fr: retirer) ; rèttereur
 sloom, slepend, lijzig ; lèèsèèchteg
 sloot ; lôop
 slordig huishouden ; raaw ketier
 slordig mens ; sloerie
 sluitring (Fr: revêtir) ; revèt
 slungelige, magere benen ; slaojbêene
 sluwerik, linkbal, geslepen vos, lijperd ; lèèpôog
 smaken ; smaoke
 smakken ; skweezen
 smal trottoir, stoepje, opstapje ; stuupke
 smeerlap ; smèrlap
 smeken, bidden, bedelen ; pèrmetêere
 smerig / vies mens ; plöddeke
 smerige / vieze bezigheden doen ; plöddere
 smerige bedrieger ; vals plöddeke
 smoesje ; ötmaok, èùtmaok
 smoesje, kwinkslag, drukte, herrie, kabaal ; gatslag
 smoesje, verhaaltje ; missezin
 snack bar ; friet boer
 snack bar ; vet tempel
 snackbar ; frituur
 snackshop ; friet zaok, d' n frituur
 sneeuw ; sneuw
 sneeuwen ; sneuwe (ut sneut, snuwde, heej gesnuwd)
 sneeuwpop ; sneuman
 snel ; gaaw, gaa
 snel handelen, snel, nerveus of bedrijvig iets doen of ergens heen gaan ; ritse
 snel vandoorgaan ; tussenèùtpèère
 snel, vlugjes, overhaast (en dat tevens nonchalant, zonder aandacht) ; hapsnap
 snel, schrokkerig eten ; verdèstruuweere
 snelle start ; ramscheut
 snelle werkster, vrouw die alles heel vlug doet ; rits
 snelwerkende fijnspinmachine (textiel) ; ringspinmesjien
 snijbonen ; snijbontjes
 snijworst ; sesies
 snijworst ; sesieswòrst
 snijworst ; sisi worst
 snikheet ; snikkendhêet
 snoepgoed van gesmolten gekarameliseerde suiker ; teejbròkke
 snoepje ; snuupke
 snoepjes ; snuupkus
 snoepjes ; snuupkes
 snoeplust ; snoeptaand
 snoeptand, lekkertand ; lèkkertjestaand
 snorretje, moustache ; nondejuuke
 snuiftabak ; snuf
 snuiten, neussnuiten ; snutte
 snuitje ; snötje
 snuiven, snuffelen ; snuffe
 sober of karig iets ; kòlloosieke
 socialist ; rôoje
 sodemieter, donder ; klôot (op zèn klôote krèège)
 soep ; sloeber
 soezen, suffen ; dutsele
 soldaat ; soldoat
 soldaat ; sudotje
 soldatenschoenen ; kiesjes, legerkiesjes
 solution ( bandenplakmiddel) ; seluusie, sluusie
 sommige ; sommigte
 sommige ; sommegte
 soms ; somwèèle
 soms ; sewèèle
 somtijds ; somwèèle
 somtijds ; sewèèle
 somtijds, zo nu en dan ; somtèds
 somtijds, zo nu en dan ; semènketije
 soort van ; sortemènt
 spaarpot ; spòrspòt
 spade ; schoep
 spagaat ; mikval
 spaken (v / h fietswiel) ; spaoke, spêeke
 spannen, heftig toegaan ; krulle
 spannen, nijpen, erop aankomen ; naawe
 sparen ; spaore
 spatader ; blaawscheut
 spatbord (v.e.fiets) ; slèkbòrd
 spatie, ruimte ; spaosie
 spatten, spetteren ; jiepe
 speciale markt voor sinterklaasinkopen doen, St. Nicolaasmarkt ; klòttermèrt
 speculaas ; speklaosie
 speculaas ; speklaasie
 speculaas (je), speculaaspop ; spikmènneke
 speculaas (je), speculaaspop ; speklaosiepop
 speculaasje ; speklaosiemènneke
 speculaasjes ; speklaosies
 speculaaspop ; sp'klaossiemenneke
 speeksel, spuug ; spiers
 speelgoed kar ; bôlder kêr
 speelkaarten ; kaorte
 speelkaarten ; kaorde
 speelkaarten zonder plaatjes ; leege kaorte
 speelplaats ; spulplòts
 speeltuin ; spultèùn
 speen, tuitje ; fiep
 speenvarken ; kuuske
 spekpannenkoek ; spèkstrèùf
 spelbreuk, spelonderbreking ; brèkspel
 speld, dennennaald ; spèl
 spelden ; spèlle
 speldenkussen ; kussespèlleke
 spelen ; speuluh
 spelen ; speule, (spult, spulde, gespuld)
 sperma ; tift
 spermavlek ; kaole boer
 sperwer ; klampert
 sperwer ; klamper
 spiegelei ; tiet-aai
 spijbelen ; scholtjematte
 spijker ; spèèker
 spijker ; naogel
 spijlen ; spèèle
 spijt ; spèèt
 spinazie ; spenozzie
 spinner ; draojmaoker
 spitten, scheppen ; spaoje
 splinternieuw ; fonkelnuut
 sponning ; rebat
 spotnaam voor een non ; nonnepreut
 spotvogel (Hippolais ict erina) ; kakkeluutje
 sprei ; spraaj
 spreken, praten ; praote, (tt pròt, vt pròtte)
 spruitje (groente) ; sprötje
 spugen ; spiersen
 spugen, braken ; spouwe
 spuuglap, morsdoek ; zêeverlap
 spuwen ; spierse
 spuwen, spugen ; kitse
 St. Hubertusbroodjes ; hèùpebrôojkes
 St. Hubertusbroodjes ; hèùpkes
 St. Hubertusbroodjes ; huupkes
 staak ; staok
 staan ; staon (ston (d), gestaon)
 staand ; stòndebêens, stòndebins
 staart ; stèrt
 staart afknotten ; blòkstarte
 staartmees (Aegithalus caudatus) ; hangstèrtje
 stamlokaal, kroeg, café ; stamineeke, stameneeke
 stamppot (Fr: potage), natte stamppot, soep ; petòzzie
 stamppot boerenkool ; gruunstaamp
 stamppot kelen ; kiltjesstamp
 stamppot van appelmoes (appels) en aardappels ; hêeten bliksem
 standbeeld ; stanbild
 standpunt (Fr: point d'honneur), iemand die op zijn eer gesteld is ; ponteneur
 stapel ; hôop
 stapel ; taas
 stapelen, opstapelen ; taase
 statiegeld flessen ; stâagèld
 steeds eigenbelang nastrevend ; intersaant
 steeds wederkerende handeling ; reutel
 steeds, stads, deftig ; stads
 steeltje ; stiltje
 steen ; kaai
 steenpuist ; stinpöst
 steentjes ; stintjes
 steentjes keilen ; stintjekètse
 steenuil (Athene noctua) ; hööpke
 stelen ; gappen
 stelen ; bietsen
 stelen ; schoepe
 stellig, zeker, pertinent ; pèrtienes
 stenen ; kaaje
 stenen van oud cement ontdoen ; stintjesbikke
 stengel, rank, tak ; rangel
 Step ; Affaseerplenkske
 step ; rolplenkske
 step ; avanceerplènkske
 step ; tolplenkske
 step op smalle luchtbanden ; glèjer
 sterk ; driedraods
 sterk - typisch; kasjuweel
 sterk, ongelooflijk ; stèèrk
 sterk, vasthoudend ; kneu kelvaast
 sterke kerel ; mènnekesputter
 sterkers ; stèèrekers
 sterven ; stèèreve
 steunbalk ; schoorbalk
 stevig poetsen ; rösse
 stiekem, geniepig, heimelijk, achterbaks ; âachterdèùms
 stijf ; stèèf
 stil even ; Bakkus houwe
 stilstaan ; hoowhaawe
 stilstaan (voermannentaal) ; huuj
 stinken ; jèùne
 stinken, winden laten ; jööne
 stoeipoes, kind dat aangehaald en verwend wordt ; haffelkatje, haffelkètje
 stoelgang ; afgang
 stoelgang hebben ; afgaon
 stoeltje ; stuultje
 Stoep ; Kaaiband
 stoeprand ; kaajbaand
 stoeprand ; kaaiband
 stoeprand ; kaaibaand
 stoeprand, trottoirband ; kaajbaand
 stoepranden ; kaaibaande
 stoeptegel ; kaibaan
 stoet ; opstoet
 stoethaspel ; braojer
 stoethaspel, onhandig iemand ; miemèùkel, miemöökel
 stof ; stobber
 stof doen opwaaien ; stobbere
 stoffer en blik ; blèk èn vèèger
 stofsneeuw ; griezel
 stoken, opstoken, aanzetten ; steuke
 stolp, glazen omhulsel ; stölp
 stolpen ; stöllepe
 stomdronken ; afgelaoje
 stomdronken ; ladderzat
 stomdronken, suf ; laplaazerus, laplaazeres
 stomme zooi ; vuile méuk!!
 stommeling, sufferd, uilskuiken ; gaoperd
 stoofpeertjes ; stôofpirkes
 stoomcarrousel ; stôomkarresèl
 stoppelknolzaad ; gruunzaot
 stoppen ; hoowhaawe
 stoppen ; huuhaawe
 stoppen ; èùtschaaje
 stoppen, ophouden ; ophaawe
 storm met veel regen en wind ; baomes
 stoten van kinderhoofdje ; boetsebòlle
 stotteren ; hakkele
 stouwen, stuwen ; staawe
 straaljager ; strôljôger
 straat ; straot
 straathond ; joekel
 straatje ; stròtje
 straatjoekel ; kaajbaanderas
 straatjoekeltje ; straotjoekeltje
 straattaal ; praot van de straot
 straf, kwelling (Fr: persécution) ; pèrsekuusie
 straks ; zubiet
 stratenmaker ; kaajlègger
 stratenmaker ; kaajbuuter
 streep ; stripke
 strooisel, droge bladeren, dennennaalden, losse turf ; strossel
 stroom ; illektriek
 stroopsoldaatje ; stroopsoldòtje
 strootjetrekken ; sprietjetrèkke
 stropdas ; plàstròn
 stropdas ; kravàt
 stroper ; moeskòp
 struikelen ; stölpere
 struise vrouw ; meulepèrd
 struise vrouw ; meulepèèrd, meulepèrd
 studentenkamer ; studiekòt
 stuifzand ; stèùfzaand, stööfzaand
 stuip ; stèùp
 stuiptrekken, uitgeschakeld, hulpeloos zijn ; lèllepôote
 stuiver ; stèùver
 stuk ; keduuk
 stuk ; kepòt
 stuk, kapot, dood ; kapoerewiets
 stukgaan ; kraoke
 stukje papier ; pepierke, pampierke,
 stukje, snoepje ; brökske
 stukken, scherven, aan gruis ; griezelemènte
 stukkendroger, bediener v.d. droogmachine (textielindustrie) ; drêûger
 stuntelaar, verveeloor ; klôojôow
 stuntelen ; klaoze
 su kkelen ; pratte
 sudderen ; dèddere
 suf, afwezig, sloom ; deuzeg
 suffen, onoplettend zijn ; gòlliepaope, (tt gòlliepòpt)
 sufferd ; gòlliepaop
 sufferd ; koekerd
 sufferd ; taotòlf, tòtòlf
 sufferd, dromer ; òrtestiesje
 sufferd, iemand die niet goed wijs is ; laawe
 suiker ; sèùker
 suiker ; sööker
 suikerbieten ; sèùkerpeeje
 suikerbroodje, bolus ; plèkdròl, plèkbrôojke
 suizen ; hoeme
 suk keldrafje ; kiepedrèfke
 sul ; dookus
 sul ; dook
 surprise ; sepries
 swingen (hot jazz) ; hòtjèsse
 taal ; taol
 taal ; toal
 taaltje ; tòltje
 taart ; vlaai
 tabakspruim ; tebaksprèùm, tebaksprööm
 tachtig ; taageteg
 tachtig ; taggenteg
 tadderak ; taderak
 tafel ; tòffel
 tafelkleed ; tòffelklêed
 tafelkleed ; toffelkleeke
 tafelkleed, olalalala ook iets van het vrouwelijke lichaam ; klitje
 tafellade ; tòffellaoj
 tafellade ; tòffelschèùf
 tafelpoot ; tòffelpôot
 takkenbos, mutsaard, mutserd ; musterd
 takkenbossen ; musterds
 talent, aanleg ; ònlèg
 tam (dieren), braaf, sullig (mensen) ; zêeg
 tamelijk ; rèùm
 tand, kies ; taand
 tandarts ; smoelsmiet
 tandarts ; smoelsmid
 tanden ; spirelle
 tanden ; taande
 tandenstoker ; táánthout
 tante ; taante
 Tante Anna ; Taantanna
 tante in het klooster ; taante nonneke
 tapkast in het café ; tôog
 tarwe ; tèèrf
 tarwebloem, patentbloem ; geblikten blom
 tasje ; tèske
 tattoeage ; plekplotje
 te bont maken ; bröön bakke
 te duur ; te köstelek
 te goeder trouw ; te goejertraaw
 te voet ; lôopes
 te voet ; schoemaokerstram
 te voet gaan ; meej du beenewoage
 teelbal, kloot ; klôot (mv klôote, vkw klotje, klutje)
 teelt ; tult
 tegelijkertijd ; èffegetèèj
 tegelijkertijd ; meepesaant
 tegelijkertijd ; meejpesaant, impesaant
 tegelijkertijd ; meejpesaant
 tegelijkertijd ; ampesant / meepesaant
 tegelijkertijd ; temeej
 tegelijkertijd, terloops (Fr: en passant) ; impesaant, meejpesaant
 tegen ; teegen
 tegen je enkels schoppen ; hòrènkele
 tegenaan ; teegenaon
 tegenover ; teegenoover
 tegenwoordig ; teeges
 tegenwoordig ; teegesworreg
 tegenwoordig, nu ; teegesworreg
 teil ; tèèl
 telen, kweken, verbouwen ; teule, (tult, tulde)
 televisie ; kèèkkasje
 televisie ; tillevisie
 telkens ; tellekes
 telkens weer ; geduureg
 telkens weer ; oppernuut
 telkens weer ; oppenuut
 ten eerste ; irstes
 ten goede veranderen ; gebeetere
 ten hoogste, hoogstens, hooguit ; hôogèùt
 ten naaste bij, ongeveer, zowat ; te raawste
 ten slotte ; teliste
 ten tweede, op de tweede plaats ; twiddes, twids
 tenen ; têene
 tengels ; kleviere
 tepels ; mèmme
 terecht ; terèèchte
 terechtkomen ; terèèchtekoome
 teren, verteren, feestvieren ; tèère
 terloops ; meepesaant
 terloops, op zijn gemak ; lochjeswèg
 terloops, tegelijkertijd (Fr: en passant) ; meejpesaant, impesaant
 terug ; trug
 terug, voorheen ; hèr
 terughalen ; trughaole
 terwijl ; swels
 terwijl ; swèlsdè
 testament ; tèstemènt
 teugels ; laajsel
 tevens ; meejpesaant
 tevens ; impesaant
 tevreden ; gelukkeg
 textiel afnemer ; dippeljeur
 textiel machine om te drogen ; drêûgmesjien
 thee ; teej
 thermosfles ; isolêerflès
 thuis ; tèùs
 thuis bij emma ; thôs bij emma
 thuisblijven ; tösblèève
 thuiskomen ; töskoome
 thuislaten ; töslaote
 thuiswever ; tèùswèèver
 tieren ; snòbbe èn snaawe
 tijd ; tèèd
 tijdens het praten doorwerken ; praote en braaje
 tijdig ; betèts
 tijdje ; tèdje
 Tilburg ; de schonste stad van et laand
 Tilburg ; Tilbörg
 Tilburg (Carnavalsnaam) ; Krèùkestad, Kröökestad
 Tilburger ; Kruikenzeiker
 Tilburger ; Krèùkezèèker, Kröökezèèker
 tilburger ; tilbörger
 Tilburger van bezuiden de spoorlijn (opmerking 5), stadse ; kaajbuuter (opmerking 5)
 Tilburgers ten noorden van de spoorlijn. ; Törke
 Tilburgs hondenras ; kaajbaanderas
 Tilburgse kruidenlikeur ; Schrobbelèr
 tilburgse pap ; Luiwèèvepap
 timmeren ; timmere
 tin ; tèn
 tobberd ; aawesòpper (t)
 toegerust ; ingespanne
 toerusten ; ötzakke, èùtzakke
 toevalstreffer, gelukscarambole, toverbal ; un zwèntje
 tof ; gèèf
 toffe kerel ; gaawe gaast
 toffee ; bròk, (vkw brökske)
 toilet ; schéthús
 toilet papier ; schétpepier
 toilet, wc ; schèèthèùs
 toilet, wc ; gemak
 toilet, wc, plee ; höske
 toiletborstel, closetborstel, wc-borstel, pleeborstel; pleejbòrsel
 toileteren ; Naor oew èèguh guzèik lùsteruh
 tollen met een zweepje ; haktolle
 tong zoenen ; plekken
 tong zoenen ; tungske vrijen
 Tongzoenen ; Tungske vrijen
 tongzoenen, kussen, vrijen ; plèkke
 tonprater (carnaval) ; leuterèèr
 torenvalk (Falco tinnunculus) ; bidder
 tornen ; tòrre
 tornen, losmaken, naad lossnijden ; lòstòrre
 tot ; toe
 tot kijks maar weer. ; houdoe en saluutjes
 tot ziens ; halleeej
 tot ziens ; Alaaf
 tot ziens ; houdoe
 tot ziens (eigenlijk: hou je goed), vaarwel ; haaw-d-oe, haawdoe, houdoe
 totaal ; hillemaol
 totaal ; himmòl
 totaal ; vierkaant
 totaal aan wat men gedronken en / of genuttigd heeft in een café of restaurant ; vertèèr
 totaal van de wereld zijn ; jantjemerienes zijn
 totdat ; toedè
 totdat ; toedègge
 totdat ; toedèttie
 toverbal ; tôoverbòl
 traan ; traon
 tractor ; trekker
 traditionele feestdag v.h.gilde, teerdag ; tèèrdag
 traktement, zakgeld ; trèktemènt
 trapje, laddertje ; lirke
 trapperhefboom bij fiets (Eng: crank) ; krènk
 trapperhefboomborgpen ; krènkspie
 trappistenbier ; paotersbier
 treiteren, pesten, vervelend doen ; èttere
 trekstrengen van een kar ; haacht
 treuzelaar ; sèmmelklôot
 treuzelaar ; semmelèèr
 treuzelen ; semmele
 treuzelen ; semmelen
 treuzelen ; saansele
 treuzelen, rekken, vertragen ; lèètere
 treuzelende vrouw ; sèmmeltrien
 treuzelende vrouw ; sèmmel
 trillen ; rèère
 troep kinderen ; klocht kènder
 troep kinderen ; strêûp
 trosje ; truske
 trots ; frêet
 trots ; fier
 trots, parmantig, deftig ; vrêet, frêet
 trottoir ; stoep
 trottoir ; stuupke
 trottoirband ; kaaiband
 trottoirband ; kaaibaand
 trouw blijven aan je principes ; oewe pôot stèèf haawe
 trui, pullover ; pull
 trut, zeur ; zèèkmie
 try outs ; perbeersels
 tuberculose ; tèrring
 tuin ; tèùn
 tuin boon ; knauw boon / boere teene
 tuin, hof ; hòf, (vkw höfke)
 tuinanjer ; snoffel
 tuinbonen ; boeretêene
 tuinbonen ; knaawbôone
 tuinbonen ; labbôone
 tuinboon ; knauwboon
 tuinboon ; lapbôon
 tuinfluiter (Sylvia borin) ; brèmkwèt
 tuingerei ; tèùngeraaj
 tuinhark ; griezel
 tuinieren ; heuve
 tuinpad, achterom ; hòfpad, hòfpat
 tuinschaar ; tèùnschèèr
 tuintje ; töntje
 turf ; törf
 twee ; 2 tweej
 twee ; tweej
 twee verschillende ; twidderaander
 twee verschillende soorten ; twidderaande
 tweede ; twidde / twiddes
 tweede grasoogst in de nazomer ; toemaot, toemèt
 tweejarig paard ; boenter
 tweeling ; twilling
 twerner ; twènner
 twijgje, lange dunne tak ; zwiemke
 twijnen, twernen, garen dubbelen ; twèène, twènne
 u ; oe
 Udenhout ; d'n Unent
 Udenhout ; den Uunent
 ui ; juin
 ui ; jèùn
 ui ; ajuin
 ui (en), ajuin (en) ; jèùn, jöön (vkw jöntje, jèùntje)
 ui, ajuin ; jöön
 uien ; jèùn, jöön
 uien ; schoemaokersspèk
 uier ; ööjer, öör
 uier ; öör
 uil ; ööl (vkw öltje), èùl (vkw èùltje)
 uilskuiken ; goallipoap
 uit ; èùt
 uit ; öt, ööt, èùt
 uit ; ööt, öt, èùt
 uit alle macht, dwingend ; meej duuvelsgewèld
 uit de mode zijn, dood zijn ; öt de tèèt zèèn, èùt de tèèt zèèn
 uit de naad ; schompes
 uitbreiden ; ötbraaje, èùtbraaje
 uitdruipen ; ötdröppele, èùtdröppele
 uitdruipen ; ötdrööpe, èùtdrööpe, èùtdrèùpe
 uiteenvallen, uit elkaar vallen ; ötêenvalle, èùtêenvalle
 uiteinde ; ötènde, èùtènde
 uiteindelijk ; teliste
 uiterlijk, voorkomen ; prizzentaosie, prissentaosie
 Uiterste Stuiver ; Èùterste Stèùver
 uitgaan ; rêepe
 uitgaan ; toerlezjoere
 uitgaan ; ötgaon, èùtgaon
 uitgaan, het er goed van nemen, de fijne meneer spelen ; limmenêere
 uitgaander, levensgenieter ; bezjoerder
 uitgaansavond voor het jonge volk ; rêepaovond
 uitgaansdag ; ötgònsdag, èùtgònsdag, ötgaonsdag, èùtgaonsdag
 uitgebakken spek ; kaojkes
 uitgebakken spekjes ; kaojkes
 uitgegleden ; ötgegleeje, èùtgegleeje
 uitgekookt iemand, gewiekste knaap, linkmiegel ; linkmiechel
 uitgeloot ; ötgelooterd, èùtgelooterd
 uitgepraat ; ötgeleuterd, èùtgeleuterd
 uitgeput ; tèène
 uitgestalde, geëtaleerde ; ötgepakt, èùtgepakt
 uitglijden ; ötglèèje, èùtglèèje
 uitglijden ; ötschèùve, èùtschèùve
 uithalen ; öthaole, èùthaole
 uithijgen, met de mond bewasemen ; hööge
 uithoren ; hèlôore
 uithouden ; kêere
 uithouden ; öthaawe, èùthaawe
 uitjes ; jöntjes
 uitjouwen ; ötsliepe, èùtsliepe
 uitkijken ; ötkèèke, èùtkèèke
 uitkleden ; ötkleeje, èùtkleeje
 uitkloppen ; ötstobbere, èùtstobbere
 uitkomen ; ötkoome, èùtkoome
 uitkruien ; ötkrööje, èùtkrèùje
 uitlaat ; ötlaot, èùtlaot, knalpèèp
 uitlachen, bespotten door met de wijsvingers over elkaar te strijken ; ötsliepe, èùtsliepe
 uitleggen, verklaren, uitduiden ; ötdööje, èùtdööje
 uitlenen ; ötlêene, èùtlêene
 uitloten ; ötlootere, èùtlootere
 uitnodigen ; verzuuke
 uitnodigen ; ötnôoje, èùtnôoje
 uitpakken ; ötpakke, èùtpakke
 uitpraten ; ötpraote, èùtpraote
 uitrafelen ; ötrèffele, èùtrèffele
 uitreiken ; ötrèèke, èùtrèèke (tt ötrèkt, èùtrèkt)
 uitrekenen ; ötreekene, èùtreekene
 uitrekken ; lèèpere
 uitroep van ongeloof ; gaowèg
 uitroep van verbazing, van pijn of teleurstelling ; amaaj
 uitschelden ; ötschèène, èùtschèène
 uitschot ; rögt
 uitschrapen ; ötschèère, èùtschèère
 uitschuiven, uitglijden, bot vangen, achter het net vissen ; ötschööve, èùtschööve, ötschèùve, èùtschèùve
 uitslag ; ötslag, èùtslag
 uitslag ; ötsleutel, èùtsleutel
 uitslag, antwoord ; ötslötsel, ötsleutel, èùtslötsel, èùtsleutel
 uitsmeren ; ötsmèère, èùtsmèère
 uitsmijter ; bèùtewipper, klêerkâast, klirkâast
 uitsmijter ; klêerkâast, bèùtewipper, klirkâast
 uitspoken ; ötzètte, èùtzètte
 uitspreiden ; ötspraaje, èùtspraaje
 uitstak ; ötstôok, èùtstôok
 uittrekken ; öttrèkke, èùttrèkke
 uitvaart ; ötvòrt, èùtvòrt
 uitvinden ; ötvèène, èùtvèène
 uitvinder ; ötvèèner, èùtvèèner
 uitvlakken, niet vergeten, , erg in hebben ; ötboezeroene, èùtboezeroene
 uitvlucht, smoesje ; ötdeur, èùtdeur, ötteur, èùtteur
 uitvlucht, smoesje ; ötteur, ötdeur, èùtteur, èùtdeur
 uitwisselen ; tèùtele
 uitzet ; ötzèt, èùtzèt
 uitzetten ; ötzètte, èùtzètte
 uitzoeken ; ötzuuke, èùtzuuke
 uitzoeken, uitpluizen ; ötvundere, èùtvundere
 uitzondering ; ötzundering, èùtzundering
 unster, handweegschaal ; öster
 urine, zeik ; zèèk
 urineren ; pisse
 urineren, zeiken, pissen, plassen, piessen ; zèèke
 uw ; oew
 vaak ; dikkéls
 vaak, dikwijls ; dikkels
 vaandel ; vaon
 vaas ; faos
 vaas ; vaos
 vaatdoek ; schooteldoek (vkw schootelduukske)
 vaatdoek ; schooteldoek
 vaatdoek ; skotteldoek
 vaatdoek ; schoteldoek
 vaatdoek, scheldwoord voor een lichtzinnige vrouw ; schootelvòd
 vaatdoek, scheldwoord voor een lichtzinnige vrouw ; schootelslèt
 vader ; aawe
 vader ; paa
 vader ; vadder
 vak, beroep, baan, stijl ; stiel
 vakantie ; vekaansie
 vakantie ; vekaasie
 vaker ; dikkelder
 valhelm ; butsmuts, botsmuts
 vallen ; klèttere
 vallen ; klòttere
 vals muntje ; blekke mientje
 vals spelen ; gieleke
 vals spelen bij kaarten ; foezele
